metric,value,n,unit,retrievedAt,method
overall.n,21,21,count,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
overall.median,35.08,21,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
overall.mean,49.57,21,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
overall.q1,16.99,21,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
overall.q3,69,21,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
overall.min,5.89,21,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
overall.max,138.54,21,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
overall.under20Pct,29,21,%,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
overall.under50Pct,57,21,%,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
overall.under100Pct,86,21,%,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
category.inalambricos-y-bluetooth.median,69,11,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
category.inalambricos-y-bluetooth.mean,72.81,11,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
category.inalambricos-y-bluetooth.q1,45.03,11,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
category.inalambricos-y-bluetooth.q3,107.25,11,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
category.inalambricos-y-bluetooth.min,6.99,11,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
category.inalambricos-y-bluetooth.max,138.54,11,EUR,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
category.inalambricos-y-bluetooth.under20Pct,9,11,%,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
category.inalambricos-y-bluetooth.under50Pct,27,11,%,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
category.inalambricos-y-bluetooth.under100Pct,73,11,%,2026-08-18,"Prices read from the site's Amazon price cache (Creators API), one price per tracked product, snapshot 2026-08-18. Aggregates only; per-product prices are never published from this dataset."
_license,https://creativecommons.org/licenses/by/4.0/,,,,"CC BY 4.0 — cita mejores-auriculares.com con un enlace a https://mejores-auriculares.com/estadisticas/"
