metric,value,n,unit,retrievedAt,method
queries,25,232,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
perQuery,10,232,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
n,232,232,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
nFetched,217,232,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
nBlocked,15,232,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
nUnknown,0,232,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
distinctDomains,113,232,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
yearInTitlePct,20,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
currentYearInTitlePct,16,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pricesShownPct,56,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
visibleDatePct,14,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
comparisonTablePct,5,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
faqPct,3,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.median,1595,214,words,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.q1,920,214,words,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.q3,2646,214,words,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.min,78,214,words,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.max,10352,214,words,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.guide.n,47,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.guide.pct,22,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.category.n,46,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.category.pct,21,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.listicle.n,34,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.listicle.pct,16,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.product.n,34,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.product.pct,16,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.other.n,26,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.other.pct,12,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.news.n,14,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.news.pct,6,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.forum.n,10,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.forum.pct,5,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.study.n,6,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.study.pct,3,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.retailer.n,74,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.retailer.pct,34,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.media.n,49,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.media.pct,23,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.brand.n,27,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.brand.pct,12,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.marketplace.n,26,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.marketplace.pct,12,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.other.n,14,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.other.pct,6,217,%,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.institution.n,9,217,count,2026-09-08,"Page-one results (10 per query) for 25 queries fetched on 2026-09-08 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
